event_id,event_date,date_precision,time,actor,recipient,event_type,event_description,amount,instrument_or_doc,epistemic_label,source_id,pinpoint,corroborating_source_ids,conflicting_source_ids,issue_ids,confidence,notes
EV-013,2023-09-26,exact,,ENT-005,n/a,reversal,"The 09/15/23 $10,000.00 principal payment is reversed, restoring principal to $142,095.76","-$10,000.00",Loan History Statement row,[VERIFIED],SRC-013,"p.3, row dated 09/26/23",,,,high,"This negative entry IS a reversal - it has a matching prior credit eleven days earlier. Contrast EV-005 and EV-008, which do not."
EV-014,2023-12-21,exact,,ENT-005,n/a,payment,"Last payment activity of any kind in the ledger: two Regular Payments and a Principal Only Payment booked, leaving principal at $140,288.02","$2,081.81; $2,082.46; $191.60","Loan History Statement rows",[VERIFIED],SRC-013,"p.3, rows dated 12/21/23",,,,high,"After this date the principal balance never changes again through the 03/10/26 print date."
EV-015,2024-01-01,exact,,n/a,n/a,other,"The contractual monthly payment for which the account is stated to be due","n/a",Shellpoint CFPB response,[ALLEGED],SRC-012,"letter p.1",SRC-010,,,high,"Shellpoint's own statement: 'The loan account is due for the January 1, 2024 contractual monthly payment and each consecutive payment due thereafter.' Doc. 34 at 4 records the removing Defendants' assertion that the loan 'has been in default since January 2024' - which is the same assertion, not independent corroboration."
EV-016,2024-02-01,month,,ENT-005,ENT-001;ENT-002,notice,"SLS wrote to Plaintiffs concerning the default and initiated non-judicial foreclosure proceedings on behalf of MEB",n/a,default correspondence,[COURT-FOUND],SRC-010,Doc. 34 at 3 n.4,,,,medium,"Stated in the court's background footnote. The footnote is the court's recitation of background, drawn from the parties' materials; the underlying notice is not in this manifest. Confidence medium for that reason."
EV-017,2024-05-06,exact,,ENT-005,n/a,fee,"Property Inspection Assessment, -$30.00, by the prior servicer","-$30.00",Loan History Statement row,[VERIFIED],SRC-013,"p.3, row dated 05/06/24",,,,high,"First of a continuous series of default-related charges. Due Date column reads 11/01/23 on this and the next three rows."
EV-018,2024-06-20,on-or-about,,ENT-005,ENT-004,transfer,"Servicing of the HELOC transferred from SLS to Shellpoint",n/a,n/a,[COURT-FOUND],SRC-010,Doc. 34 at 3 n.4,,SRC-013,OFQ-1,medium,"The court says 'On or about June 20, 2024.' The servicer's own ledger books a 'New Loan' row on 07/07/24. See CON-002."
EV-019,2024-07-07,exact,,ENT-004,n/a,transfer,"Shellpoint books the loan on its system: 'New Loan' row, $0.00 transaction, opening principal $140,288.02 and late charge balance $624.00","$0.00 (principal balance $140,288.02)",Loan History Statement row,[VERIFIED],SRC-013,"p.3, row dated 07/07/24",,SRC-010,OFQ-1,high,"What the row shows is the boarding of the loan onto Shellpoint's servicing system, carrying forward a principal balance and a late-charge balance set by the prior servicer. It does not show when the servicing transfer legally occurred."
EV-020,2024-08-12,exact,,ENT-004,ENT-007,fee,"First foreclosure-cost disbursement to McCalla Raymer under Shellpoint's servicing: FC Costs -$190.00 and Certified Mail -$8.16","-$198.16",Loan History Statement rows,[VERIFIED],SRC-013,"p.3, rows dated 08/12/24",,,,high,"Marks the start of Shellpoint-era foreclosure costs. Every such row carries Due Date 01/01/24."
EV-021,2025-05-02,exact,,ENT-001;ENT-002,ENT-004,payment,"Web Payment of $1,899.56 received and booked to Unapplied (suspense), not applied to the loan","$1,899.56",Loan History Statement row,[VERIFIED],SRC-013,"p.2, row dated 05/02/25",,,,high,"Rev/Flag columns read 0 / 2."
EV-022,2025-05-08,exact,,ENT-004,n/a,reversal,"The 05/02/25 Web Payment is reversed (Rev Code 2) and an NSF Fee Assessment of $0.00 is booked the same day","-$1,899.56; NSF fee $0.00",Loan History Statement rows,[VERIFIED],SRC-013,"p.2, rows dated 05/08/25",,,,high,"The NSF Fee Assessment row shows a $0.00 amount. What that shows is that an NSF event was recorded without a dollar charge; it does not show that no fee exists elsewhere."
EV-023,2025-05-10,exact,,ENT-001;ENT-002,ENT-004,payment,"Second Web Payment of $1,899.56 received into Unapplied","$1,899.56",Loan History Statement row,[VERIFIED],SRC-013,"p.2, row dated 05/10/25",,,,high,
EV-024,2025-05-15,exact,,ENT-004,n/a,reversal,"Second Web Payment reversed (Rev Code 2); second NSF Fee Assessment of $0.00","-$1,899.56; NSF fee $0.00",Loan History Statement rows,[VERIFIED],SRC-013,"p.2, rows dated 05/15/25",,,,high,
EV-025,2025-05-17,exact,,ENT-001;ENT-002,ENT-004,payment,"Third Web Payment of $1,899.56 received into Unapplied. This one is NOT reversed and remains as the ending Unapplied balance","$1,899.56",Loan History Statement row,[VERIFIED],SRC-013,"p.2, row dated 05/17/25; totals block p.5",,,,high,"The totals block shows 'Ending Unapplied Balance $1,899.56', matching this payment. Money received and held, never applied."
EV-026,2025-06-18,exact,,ENT-001;ENT-002,ENT-004,payment,"Fourth Web Payment of $1,899.56 received, bringing the Unapplied balance to $3,799.12","$1,899.56",Loan History Statement row,[VERIFIED],SRC-013,"p.2, row dated 06/18/25",,,,high,
EV-027,2025-06-25,exact,,ENT-004,n/a,reversal,"The 06/18/25 Web Payment is reversed (Rev Code 2); third NSF Fee Assessment of $0.00","-$1,899.56; NSF fee $0.00",Loan History Statement rows,[VERIFIED],SRC-013,"p.2, rows dated 06/25/25",,,,high,"Four web payments of $1,899.56 attempted between 05/02/25 and 06/18/25; three reversed with NSF events; one retained in suspense."
EV-028,2025-07-01,month,,ENT-004,ENT-007,other,"Shellpoint retained McCalla Raymer Leibert Pierce, LLP to conduct the non-judicial foreclosure",n/a,n/a,[COURT-FOUND],SRC-010,Doc. 34 at 3 n.4,SRC-013,,,medium,"Court's background footnote. The ledger's first Attorney Cost disbursement to McCalla under Shellpoint is 07/25/25, which is consistent."
EV-029,2026-01-05,exact,,ENT-004,n/a,other,"The account was referred for foreclosure",n/a,Shellpoint CFPB response,[ALLEGED],SRC-012,"letter p.1",,SRC-010,,high,"Shellpoint's own statement. Note the tension with Doc. 34 at 3 n.4, which says SLS initiated non-judicial foreclosure proceedings in or after February 2024 and that several sales had been scheduled and postponed since 2024. See CON-004."
EV-030,2026-01-05,exact,,ENT-004,ENT-001,communication,"Shellpoint's fraud department sent a fraud package to Plaintiff",n/a,Shellpoint CFPB response quoting its 01/16/26 response,[ALLEGED],SRC-012,"letter p.1",,,,high,"Double-hearsay in form: the 03/02/26 letter quotes the 01/16/26 letter. The 01/16/26 letter itself is not in this manifest."
EV-031,2026-01-16,exact,,ENT-004,ENT-001,communication,"Shellpoint responded to CFPB complaint 260101-27340826",n/a,Shellpoint CFPB response,[ALLEGED],SRC-012,"letter p.1",,,,high,"Listed as an enclosure to SRC-005 but not separately available here."
EV-032,2026-03-02,exact,,ENT-004,ENT-001,communication,"Shellpoint (Bryan Dewhurst, Compliance) responds to CFPB complaint 260302-29444848, stating it is 'unable to accommodate your request to cancel or postpone the foreclosure sale date' and that it has 'been unable to determine that any error has occurred'",n/a,Letter,[VERIFIED],SRC-012,"letter p.1",,SRC-010,,high,"The letter exists and says this - that is what is verified. Whether the statements in it are true is a separate question."
EV-033,2026-03-03,exact,,n/a,n/a,other,"The scheduled foreclosure sale date",n/a,n/a,[VERIFIED],SRC-012,"letter p.1",SRC-010,,,high,"Both the Shellpoint letter and Doc. 34 at 4 identify March 3, 2026 as the scheduled sale date."
EV-034,2026-03-03,exact,,"Superior Court of Forsyth County (Bagley, C.J.)",ENT-001;ENT-002,order,"Rule Nisi Order denying Plaintiffs' motion for a TRO, finding no irreparable harm because Plaintiffs had adequate remedies at law",n/a,3/3/26 Order and Rule Nisi,[COURT-FOUND],SRC-010,Doc. 34 at 6-7,,,,high,"Doc. 34 quotes and characterizes the order; the order itself (Doc. 26-1 at 102-105) is not in this manifest."
EV-035,2026-03-06,exact,,"Superior Court of Forsyth County (Bagley, C.J.)",ENT-001;ENT-002,order,"Order finding no imminent threat of foreclosure (the March 3 sale having been withdrawn) and stating that 'many of the Plaintiffs' claims are contingent upon whether HELOC loan proceeds were actually delivered by the lender'",n/a,3/6/26 Order and Rule Nisi,[COURT-FOUND],SRC-010,Doc. 34 at 7,,,OFQ-3,high,"The single most consequential statement about this case's evidentiary needs. The court added that it would need the dates of delivery and the value of proceeds delivered to Plaintiffs and/or their creditors."
EV-036,2026-03-10,exact,,ENT-004,n/a,other,"Shellpoint prints the Loan History Statement relied on here (Loan ID 1030418553), 5 pages, covering 08/05/22 through 02/27/26",n/a,Loan History Statement,[VERIFIED],SRC-013,"header, each page",,SRC-012,OFQ-5,high,"The print date postdates the 03/02/26 letter that lists 'payment history' among its enclosures, so this may not be the document that was enclosed."
EV-037,2026-04-15,exact,,ENT-003;ENT-004,n/a,filing,"Defendants remove the action to the Northern District of Georgia",n/a,Notice of Removal (Doc. 1),[COURT-FOUND],SRC-010,Doc. 34 at 8,SRC-014,,,high,"Corroborated by the CourtListener record's dateFiled of 2026-04-15."
EV-038,2026-07-20,exact,,"Hon. Richard W. Story",n/a,order,"Order denying remand, denying the PI and oral-hearing motions as moot, and requiring 60 days advance notice before any foreclosure",n/a,Doc. 34,[COURT-FOUND],SRC-010,Doc. 34 at 26,,,,high,
EV-039,2026-07-31,exact,,"Hon. Anna W. Howard",n/a,order,"Order holding the Complaint a shotgun pleading, directing an amended complaint by 2026-08-21, and denying Docs. 4 and 5 as moot with leave to renew",n/a,Doc. 35,[COURT-FOUND],SRC-011,Doc. 35 at 8-9,,,,high,
EV-040,2026-08-19,exact,,ENT-001;ENT-002,"All Defendants",filing,"Plaintiffs' First Requests for Production to All Defendants is dated, with Instruction B referring to the Rule 26(f) conference as still to come",n/a,Plaintiffs' First Requests for Production,[VERIFIED],SRC-004,"Instructions A-D; caption",,,OLQ-4,medium,"What the document shows is its own date and content. Whether it was served, and on whom, is not established. Confidence medium: only the leading portion of the document was read."
EV-041,2026-08-21,exact,,n/a,n/a,other,"Court-ordered deadline for Plaintiffs to file an amended complaint",n/a,Doc. 35,[COURT-FOUND],SRC-011,Doc. 35 at 8 and 9,,,OFQ-1,high,"Whether anything was filed on or before this date is NOT established by any source in this manifest."
